Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
CM,10/1/2018,10:18 PM,PUBLIC INTOXICATION,600 Block North Ih 35 Service Road,,N,APD,7861,White,Male
TR,10/1/2018,11:46 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,N,APD,7857,Black,Male
TR,10/1/2018,10:05 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7857,Black,Female
CM,10/1/2018,8:38 PM,Possession of Drug Paraphernalia,East 6th Street And,Brazos Street,N,APD,7804,White,Male
CM,10/1/2018,12:37 PM,Possession of Drug Paraphernalia,600 Block Neches Street,,N,APD,7430,Hispanic,Male
TR,10/1/2018,11:31 AM,PEDESTRIAN CROSSING MIDBLOCK,600 Block Neches Street,,Y,APD,7430,White,Male
CM,10/1/2018,2:16 AM,DISORDERLY CONDUCT - FIGHTING,East 6th Street,Trinity Street,Y,APD,7945,Black,Male
TR,10/1/2018,10:03 AM,PEDESTRIAN CROSSING MIDBLOCK,600 Block East 7th Street,,Y,APD,7240,Black,Male
TR,10/1/2018,11:50 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,Y,APD,7857,White,Female
TR,10/1/2018,11:47 AM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,Y,APD,7430,Black,Male
TR,10/1/2018,10:55 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7870,White,Male
TR,10/1/2018,3:24 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7870,Black,Male
TR,10/1/2018,11:47 AM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,N,APD,7240,Black,Male
CO,10/1/2018,8:21 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,700 Block East 7th Street,,Y,APD,7857,White,Female
TR,10/1/2018,9:41 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,N,APD,7430,Black,Male
TR,10/1/2018,11:56 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,N,APD,7857,White,Male
TR,10/1/2018,9:40 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,N,APD,7870,Black,Male
CM,10/1/2018,8:38 PM,PUBLIC INTOXICATION,East 6th Street And,Brazos Street,N,APD,7804,White,Male
CM,10/1/2018,10:10 AM,Possession of Drug Paraphernalia,700 Block Neches Street,,N,APD,3968,Black,Male
TR,10/1/2018,9:46 AM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,N,APD,7240,Hispanic,Male
CM,10/1/2018,12:40 PM,Possession of Drug Paraphernalia,700 Block Neches Street,,N,APD,7240,White,Male
CM,10/2/2018,2:40 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7884,Black,Male
CO,10/2/2018,8:47 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,500 Block East 7th Street,,Y,APD,7430,Black,Female
CM,10/2/2018,8:56 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7870,Black,Male
TR,10/2/2018,6:45 AM,PEDESTRIAN ON ROADWAY,1300 Block North Ih 35,,Y,APD,7709,White,Male
CM,10/2/2018,12:15 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7870,White,Female
CM,10/2/2018,12:15 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7870,Black,Female
CO,10/2/2018,1:45 AM,AGGRESSIVE SOLICITATION,400 Block East 6th Street,,Y,APD,7887,White,Male
CM,10/2/2018,12:02 PM,Possession of Drug Paraphernalia,715 East 8th Street,,Y,APD,7785,Hispanic,Female
CO,10/2/2018,10:25 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,7th Street And Red River Street,,N,APD,5159,Black,Male
CM,10/2/2018,12:00 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7870,Black,Male
CO,10/2/2018,12:15 PM,MANIFESTING - DRUGS,500 Block East 7th Street,,Y,APD,7870,White,Female
CM,10/2/2018,3:05 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,7844,Black,Male
CM,10/2/2018,10:16 AM,Possession of Drug Paraphernalia,700  TRINITY,,Y,,5666,Black,Male
CO,10/2/2018,12:00 PM,MANIFESTING - DRUGS,500 Block East 7th Street,,N,APD,7870,Black,Male
CO,10/2/2018,12:15 PM,HUMAN WASTE,East 7th Street And Red River Street,,Y,APD,7785,Hispanic,Male
CM,10/2/2018,10:44 PM,Possession of Drug Paraphernalia,700 Block Neches Street,,Y,APD,7611,Black,Male
CM,10/2/2018,10:19 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,7884,Hispanic,Female
CO,10/2/2018,8:56 AM,MANIFESTING - DRUGS,500 Block East 7th Street,,N,APD,7870,Black,Male
CO,10/2/2018,12:00 PM,MANIFESTING - DRUGS,500 Block East 7th Street,,Y,APD,7857,Black,Male
CO,10/2/2018,12:15 PM,MANIFESTING - DRUGS,500 Block East 7th Street,,Y,APD,7870,Black,Female
TR,10/3/2018,1:25 PM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,Y,APD,7430,Hispanic,Male
CO,10/3/2018,7:27 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,500  E.7 TH ST,,Y,,7422,Black,Male
CM,10/3/2018,3:51 AM,MISDEMEANOR THEFT C - LESS THAN $100,200 Block San Jacinto,,Y,APD,7946,Black,Male
TR,10/3/2018,1:35 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block Neches Street,,Y,APD,7857,Black,Male
CO,10/3/2018,11:55 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,505 East 7th Street,,Y,APD,7597,Hispanic,Male
CO,10/3/2018,8:13 AM,MANIFESTING - DRUGS,500 Block East 7th Street,,N,APD,7625,Black,Male
CM,10/3/2018,12:00 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,7284,Black,Male
TR,10/3/2018,12:56 PM,PEDESTRIAN CROSSING MIDBLOCK,600 Block Neches Street,,Y,APD,7857,White,Male
CO,10/3/2018,1:09 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,600 Block Neches Street,,Y,APD,7785,Black,Male
CO,10/3/2018,1:56 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,600  CONGRESS AVE,,N,,7625,White,Male
CM,10/3/2018,8:40 AM,Possession of Drug Paraphernalia,7th Street And Neches Street,,Y,APD,4973,White,Female
CM,10/3/2018,8:33 PM,PUBLIC INTOXICATION,West 9th Street And,Congress Avenue,Y,APD,7798,White,Male
TR,10/3/2018,1:30 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 6th Street And Trinity Street,,Y,APD,5159,White,Male
TR,10/3/2018,1:25 PM,PEDESTRIAN WALKING AGAINST LIGHT,Neches Street And East 7th Street,,N,APD,7857,Hispanic,Male
CO,10/3/2018,7:47 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,500  E.7 TH ST,,N,,7422,Black,Male
CM,10/3/2018,11:30 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7887,Black,Male
CO,10/3/2018,7:30 PM,PEDESTRIAN CROSSING HIGHWAY,500  E 7TH STREET,,N,,7400,White,Male
TR,10/3/2018,1:00 PM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,Y,APD,7785,Asian,Male
CM,10/3/2018,11:54 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7884,Black,Male
TR,10/3/2018,1:14 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,N,APD,7430,Black,Male
CM,10/3/2018,1:09 AM,PUBLIC INTOXICATION,400 Block East 6th Street,,Y,APD,5159,White,Male
TR,10/3/2018,12:00 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7430,Black,Male
TR,10/3/2018,1:51 PM,PEDESTRIAN CROSSING MIDBLOCK,600 Block Neches Street,,Y,APD,7430,White,Female
TR,10/3/2018,1:30 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Trinity Street,,Y,APD,5159,White,Female
CM,10/4/2018,4:00 PM,Possession of Drug Paraphernalia,Ih 35 And East 7th Street,,N,APD,7785,Hispanic,Male
CO,10/4/2018,11:08 AM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,North Ih 35 And Cesar Chavez Street,,Y,APD,7857,Black,Male
CO,10/4/2018,2:01 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,600 Block North Ih 35,,Y,APD,7430,Black,Male
CO,10/4/2018,11:51 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block North Ih 35,,Y,APD,6966,White,Female
CO,10/4/2018,4:15 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,East 7th Street And Ih 35,,N,APD,7857,Hispanic,Male
CO,10/4/2018,2:09 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,90 Block Ih 35,,N,APD,7857,Hispanic,Male
CO,10/4/2018,12:03 AM,MANIFESTING - DRUGS,500 Block Red River Street,,Y,APD,7611,Black,Male
CM,10/4/2018,3:15 PM,Possession of Drug Paraphernalia,600 Block Red River Street,,N,APD,7765,White,Male
TR,10/4/2018,11:55 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7785,White,Male
CO,10/4/2018,4:11 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,600 Block Ih 35,,Y,APD,6966,Black,Male
TR,10/4/2018,5:30 PM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Red River Street,,N,APD,7775,White,Male
TR,10/4/2018,10:46 AM,PEDESTRIAN CROSSING MIDBLOCK,600 Block North Ih 35,,Y,APD,7430,White,Male
TR,10/4/2018,12:03 AM,PEDESTRIAN CROSSING MIDBLOCK,500 Block Red River Street,,Y,APD,7611,Black,Male
TR,10/4/2018,2:24 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,N,APD,7430,Black,Female
CM,10/4/2018,10:46 AM,Possession of Drug Paraphernalia,600 Block North Ih 35,,N,APD,7430,White,Male
TR,10/4/2018,11:35 AM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,Y,APD,7430,No Data,No Data
CO,10/4/2018,10:34 AM,SOLICIT BY PERSON FROM STREET - SIDEWALK,East 7th Street And Ih 35,,N,APD,7785,White,Male
TR,10/4/2018,7:38 PM,PEDESTRIAN WALKING AGAINST LIGHT,500 Block East 7th Street,,Y,APD,7885,Black,Female
CM,10/4/2018,7:38 PM,FAILURE TO IDENTIFY - REFUSE,500 Block East 7th Street,,Y,APD,7885,Black,Female
CO,10/4/2018,3:30 PM,SOLICIT BY PERSON FROM STREET - SIDEWALK,East Cesar Chavez Street And Ih 35,,Y,APD,7785,Black,Male
TR,10/4/2018,11:34 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,N,APD,7785,Black,Male
CO,10/4/2018,2:05 PM,SOLICIT BY PERSON FROM STREET - SIDEWALK,East 8th Street And Ih 35,,N,APD,7785,White,Male
CM,10/4/2018,5:30 PM,Possession of Drug Paraphernalia,7th Street And Red River Street,,N,APD,7775,White,Male
CM,10/4/2018,9:47 AM,PUBLIC INTOXICATION,East 7th Street And,Neches Street,N,APD,7433,Black,Male
CM,10/5/2018,8:50 AM,Possession of Drug Paraphernalia,700 Block Neches Street,,N,APD,3968,Hispanic,Male
CO,10/5/2018,4:25 AM,PARK CURFEW VIOLATION,710 West Cesar Chavez Street,,Y,APD,6646,White,Male
CM,10/5/2018,1:45 AM,PUBLIC INTOXICATION,300 Block East 6th Street,,N,APD,7885,White,Male
CO,10/5/2018,4:30 AM,PARK CURFEW VIOLATION,710 West Cesar Chavez Street,,Y,APD,6646,White,Male
CO,10/6/2018,12:00 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,800 Block East 7th Street,,Y,APD,4973,Black,Male
CM,10/6/2018,12:00 AM,PUBLIC INTOXICATION,306 East 6th Street,,Y,APD,7953,White,Female
TR,10/6/2018,8:34 AM,PEDESTRIAN CROSSING MIDBLOCK,400 Block Congress Avenue,,N,APD,7785,Black,Female
CM,10/6/2018,12:00 AM,PUBLIC INTOXICATION,1211 Sabine Street,,Y,APD,7835,White,Male
TR,10/6/2018,12:00 AM,PEDESTRIAN ON ROADWAY,100 Block East 5th Street,,Y,APD,7400,White,Male
CM,10/6/2018,1:52 AM,DISORDERLY CONDUCT - FIGHTING,East 7th Street And Neches Street,,Y,APD,7796,Hispanic,Male
CM,10/6/2018,1:52 AM,DISORDERLY CONDUCT - FIGHTING,East 7th Street And Neches Street,,Y,APD,7796,White,Male
CM,10/6/2018,8:15 AM,Possession of Drug Paraphernalia,408 Congress Avenue,,Y,APD,7785,White,Male
TR,10/7/2018,10:00 AM,PEDESTRIAN WALKING AGAINST LIGHT,East 7th Street And Neches Street,,Y,APD,4951,Black,Male
CM,10/7/2018,11:35 PM,PUBLIC INTOXICATION,2000 Block Guadalupe Street,,N,APD,8382,White,Male
CM,10/7/2018,8:00 AM,Possession of Drug Paraphernalia,600 Block Neches Street,,N,APD,3968,Black,Male
CM,10/7/2018,10:30 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,3968,Black,Female
CM,10/7/2018,12:07 AM,PUBLIC INTOXICATION,79 Rainey Street,,Y,APD,7756,White,Male
CM,10/8/2018,8:10 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7202,Black,Male
CM,10/8/2018,1:45 AM,PUBLIC INTOXICATION,317 East 6th Street,,Y,APD,2641,White,Male
CM,10/8/2018,7:44 PM,PUBLIC INTOXICATION,1213 Sabine Street,,N,APD,5635,White,Male
CM,10/8/2018,8:18 PM,PUBLIC INTOXICATION,3rd Street And,Trinity Street,Y,APD,7765,White,Male
CM,10/9/2018,7:28 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,7798,Black,Female
CM,10/9/2018,11:01 AM,Possession of Drug Paraphernalia,500 Block East 7th Street,,N,APD,7785,Black,Male
CO,10/9/2018,10:41 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,500 Block East 7th Street,,N,APD,7597,Black,Male
CO,10/9/2018,11:01 AM,MANIFESTING - DRUGS,500 Block East 7th Street,,N,APD,7785,Black,Male
CO,10/9/2018,10:53 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,500 Block East 7th Street,,Y,APD,7887,Black,Male
CM,10/9/2018,1:00 AM,PUBLIC INTOXICATION,98 North Ih 35 Service Road,,Y,APD,7844,White,Male
TR,10/9/2018,5:01 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,7857,Black,Male
CM,10/10/2018,1:30 PM,Possession of Drug Paraphernalia,500 Block East 7th Street,,Y,APD,6966,White,Female
CM,10/10/2018,12:15 PM,Possession of Drug Paraphernalia,600 Block Neches Street,,Y,APD,3454,Hispanic,Male
CO,10/10/2018,9:20 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block Sabine Street,,Y,APD,4973,White,Male
CM,10/10/2018,12:57 AM,SIMPLE ASSAULT BY CONTACT,Guadalupe Street,West 26th Street,Y,APD,8416,White,Male
TR,10/10/2018,11:08 AM,PEDESTRIAN WALKING AGAINST LIGHT,7th Street And Neches Street,,Y,APD,7430,Hispanic,Male
CM,10/10/2018,11:13 PM,Possession of Drug Paraphernalia,500 East 7th Street,,N,APD,7844,Black,Male
TR,10/10/2018,9:30 AM,PEDESTRIAN CROSSING MIDBLOCK,700 Block Neches Street,,Y,APD,7430,Hispanic,Male
CO,10/10/2018,12:15 PM,MANIFESTING - DRUGS,600 Block Neches Street,,Y,APD,3454,Hispanic,Male
