date,offense_description,offense_code,census_tract,google_search,lat,lon
2020-10-01T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"500 Block Neches Street Austin, TX",30.2658524,-97.7385855
2020-10-01T00:00:00Z,AGGRESSIVE SOLICITATION,62220,001100,"East 6th Street And Neches Street Austin, TX",30.266782,-97.738247
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"500 Block East 6th Street Austin, TX",30.2670512,-97.7379995
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,000902,"300 Block Comal Street Austin, TX",30.2607118,-97.7281763
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,000902,"400 Block Comal Street Austin, TX",30.2611925,-97.7274185
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"400 Block Brazos Street Austin, TX",30.2658244,-97.7421904
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"6th Street And Neches Austin, TX",30.266782,-97.738247
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"500 Block East 7th Street Austin, TX",30.2678638,-97.7375115
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
2020-10-03T00:00:00Z,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,62611,001100,"600 Block Neches Street Austin, TX",30.2668634,-97.7381057
