google_search,lon,lat
"115 SANDRA MURAIDA WAY Austin, TX",-97.7548273,30.2682716
"12600 BLOCK NORTH IH 35 Austin, TX",-97.717685,30.2984689
"800 BLOCK EMBASY DRIVE Austin, TX",-97.7322726,30.2675703
"800 BLOCK ELM BERRY Austin, TX",-97.7447495,30.2646076
"WEST 5TH STREET and SOUTH MOPAC EXPRESSWAY Austin, TX",-97.7644631,30.2739251
"1600 BLOCK TOOMEY ROAD Austin, TX",-97.7607275,30.2639357
"1200 RED RIVER STREET Austin, TX",-97.7349771,30.272444
"500 Block Neches Street Austin, TX",-97.7385855,30.2658524
"East 6th Street And Neches Street Austin, TX",-97.738247,30.266782
"600 Block Neches Street Austin, TX",-97.7381057,30.2668634
"500 Block East 6th Street Austin, TX",-97.7379995,30.2670512
"300 Block Comal Street Austin, TX",-97.7281763,30.2607118
"400 Block Comal Street Austin, TX",-97.7274185,30.2611925
"400 Block Brazos Street Austin, TX",-97.7421904,30.2658244
"6th Street And Neches Austin, TX",-97.738247,30.266782
"500 Block East 7th Street Austin, TX",-97.7375115,30.2678638
"500 Block Trinty Street Austin, TX",-97.7396808,30.2661534
"600 Block Of Neches Street Austin, TX",-97.7381057,30.2668634
"6th Street And Neches Street Austin, TX",-97.738247,30.266782
"300 Block East 6th Street Austin, TX",-97.740155,30.267582
"800 Block East 6th Street Austin, TX",-97.7341674,30.2656502
"410 Comal Street Austin, TX",-97.7276037,30.2619349
"603 Congress Avenue Austin, TX",-97.7424043,30.268065
"600 Block Sabine Street Austin, TX",-97.7362596,30.2663927
"100 West 6th Street Austin, TX",-97.7428199,30.2680679
"7th Street And Trinity Street Austin, TX",-97.7389915,30.2680197
"700 Block Red River Street Austin, TX",-97.736955,30.267771
"400 Block East 6th Street Austin, TX",-97.7390604,30.2673915
"90 Block Chalmers Street Austin, TX",-97.7274511,30.2567106
"Ih 35 And Cesar Chavez Austin, TX",-97.7367715,30.2612203
"600 Block North Ih 35 Austin, TX",-97.7338972,30.2679472
"600 Block Brushy Creek Austin, TX",-97.8126215,30.5048207
"600 Block East 7th Street Austin, TX",-97.7368247,30.2674226
"600 Block Ih 35 Austin, TX",-97.7350274,30.2658909
"500 Block Lamar Boulevard Austin, TX",-97.754824,30.270743
"8th Street and North Ih 35 Austin, TX",-97.7343556,30.2677242
"East 5th Street And Neches Street Austin, TX",-97.7385889,30.265843
"Ih 35 and East 8th Street Austin, TX",-97.7343556,30.2677242
"6th Street And Trinity Street Austin, TX",-97.739335,30.267068
"600 Block Brushy Street Austin, TX",-97.7335685,30.2654574
"6th Street At South Ih35 Service Road Austin, TX",-97.7352815,30.2657038
"6th Street At South Ih 35 Service Road Austin, TX",-97.7352815,30.2657038
"600 Block North Ih 35 Service Road Austin, TX",-97.7146281,30.3033553
"600 Block East Congress Avenue Austin, TX",-97.7431606,30.2686309
"9th Street At Congress Avenue Austin, TX",-97.7417729,30.2708576
"100 Block North Ih 35 Service Road Austin, TX",-97.7338972,30.2679472
"600 Block North Ih35 Service Road Austin, TX",-97.7350274,30.2658909
"600 Block San Marcos Street Austin, TX",-97.7325232,30.2651248
"East Ih 35 And Cesar Chavez Street Austin, TX",-97.7367715,30.2612203
"409 East 5th Street Austin, TX",-97.7391251,30.2656768
"East 6th Street And North Ih 35 Service Austin, TX",-97.7334166,30.2651723
"200 Block East 2nd Street Austin, TX",-97.7422852,30.2639341
"100 Block West 2nd Street Austin, TX",-97.7442097,30.2643235
"200 Block East 6th Street Austin, TX",-97.7411186,30.2678743
"452 West 2nd Street Austin, TX",-97.7484394,30.2657166
"1305 Trinity Street Austin, TX",-97.7366044,30.2740679
"1200 Block Red River Street Austin, TX",-97.7349771,30.272444
"200 Block North Ih35 Service Road Austin, TX",-97.7068655,30.3268752
"1305 Trinity Austin, TX",-97.7366044,30.2740679
