Agency,Offense Description, OFFENSE CODE,YEAR,MONTH,Offense Date,WARRANT ISSUED
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,June,6/19/15,YES
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,June,6/21/15,YES
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,June,6/22/15,YES
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,June,6/22/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/22/15,NO
AMC  ,SOLICITATION FROM STREET/SIDEWALK                   ,62724,2015,June,6/23/15,YES
AMC  ,SIT OR LIE ON PUBLIC SIDEWALK                                                   ,62611,2015,June,6/23/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/24/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/24/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/26/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/26/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/26/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/27/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,June,6/27/15,YES
AMC  ,SOLICITATION - AGGRESSIVE                                                       ,62220,2015,June,6/29/15,YES
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,June,6/29/15,YES
AMC  ,SOLICITATION FROM STREET/SIDEWALK                   ,62724,2015,June,6/30/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/1/15,NO
AMC  ,SIT OR LIE ON PUBLIC SIDEWALK                                                   ,62611,2015,July,7/1/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/3/15,NO
AMC  ,SOLICITATION FROM STREET/SIDEWALK                   ,62724,2015,July,7/3/15,YES
AMC  ,SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW                               ,62215,2015,July,7/5/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/5/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/6/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/6/15,NO
AMC  ,SIT OR LIE ON PUBLIC SIDEWALK                                                   ,62611,2015,July,7/6/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/7/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/7/15,NO
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/7/15,YES
AMC  ,CAMPING IN A PUBLIC AREA                                                        ,62615,2015,July,7/7/15,YES
